20130211 14:26:32 | SQL | autofetched\set\index.php:69 | admin | SELECT id, updated,environment FROM softwareuseautofetched ORDER BY id DESC LIMIT 0,1
20130211 14:26:32 | SQL | classes\sessionObject.php:102 | admin | SELECT sessionid FROM   mission WHERE  sessionid = 5562
20130211 14:26:32 | SQL | classes\sessionObject.php:134 | admin | SELECT * FROM   mission WHERE  sessionid = 5562
20130211 14:26:32 | SQL | classes\sessionObject.php:168 | admin | SELECT areaname FROM   mission_areas WHERE  versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:181 | admin | SELECT id,mission_versionid, filename, size, mimetype FROM `mission_attachments` WHERE `mission_versionid` = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:218 | admin | SELECT * FROM   mission_requirements WHERE  versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:231 | admin | SELCECT * from mission_custom WHERE versionid=5543
20130211 14:26:32 | SQL | classes\sessionObject.php:251 | admin | SELECT notes as debrief_notes, debriefedby FROM   mission_debriefnotes WHERE  versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:269 | admin | SELECT setup_percent,test_percent,bug_percent,opportunity_percent,duration_time,mood FROM   mission_sessionmetrics WHERE  versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:324 | admin | SELECT ms.id,        ms.linked_from_versionid,        ms.linked_to_versionid,        m.sessionid FROM   mission_sessionsconnections AS ms,        mission AS m WHERE  ms.linked_to_versionid = m.versionid        AND ms.linked_to_versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:349 | admin | SELECT ms.id,        ms.linked_from_versionid,        ms.linked_to_versionid,        m.sessionid FROM   mission_sessionsconnections AS ms,        mission AS m WHERE  ms.linked_to_versionid = m.versionid        AND ms.linked_from_versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:366 | admin | SELECT executed,debriefed,closed,masterdibriefed,executed_timestamp,debriefed_timestamp FROM   mission_status WHERE  versionid = 5543
20130211 14:26:32 | SQL | classes\sessionObject.php:393 | admin | SELECT id,versionid,tester FROM   mission_testers WHERE  versionid = 5543
20130211 14:26:32 | SQL | classes\sessionHelper.php:47 | admin | SELECT * FROM   mission_status WHERE  versionid = 5543
