20130211 19:16:37 | DEBUG | equirements\set\index.php:68 | admin | Tried to create a requirement but one of the parameters is bad
20130211 19:16:38 | DEBUG | equirements\set\index.php:68 | admin | Tried to create a requirement but one of the parameters is bad
20130211 19:21:03 | DEBUG | irements\delete\index.php:64 | admin | Tried to delete a session connection with bad 'from' or 'to' parameters
20130211 19:21:05 | DEBUG | irements\delete\index.php:64 | admin | Tried to delete a session connection with bad 'from' or 'to' parameters
20130211 19:21:10 | DEBUG | irements\delete\index.php:64 | admin | Tried to delete a session connection with bad 'from' or 'to' parameters
20130211 19:21:11 | DEBUG | irements\delete\index.php:64 | admin | Tried to delete a session connection with bad 'from' or 'to' parameters
20130211 19:28:36 | DEBUG | __FILE___:46 | admin | Deleted requirement 4321 from session 110
20130211 19:28:44 | DEBUG | irements\delete\index.php:72 | admin | Tried to create a requirement but one of the parameters is bad
20130211 19:29:54 | DEBUG | irements\delete\index.php:72 | admin | Tried to create a requirement but one of the parameters is bad
20130211 19:30:37 | DEBUG | irements\delete\index.php:72 | admin | Tried to create a requirement but one of the parameters is bad
20130211 19:31:10 | DEBUG | __FILE___:46 | admin | Deleted requirement 110 from session 110
20130211 19:31:16 | DEBUG | __FILE___:46 | admin | Deleted requirement 29386 from session 110
20130211 19:32:01 | DEBUG | irements\delete\index.php:46 | admin | Deleted requirement 1324 from session 110
20130211 19:35:27 | DEBUG | irements\delete\index.php:46 | admin | Deleted requirement 123 from session 110
20130211 19:35:31 | DEBUG | irements\delete\index.php:46 | admin | Deleted requirement 112 from session 110
20130211 19:36:16 | DEBUG | irements\delete\index.php:46 | admin | Deleted requirement 111 from session 110
20130211 19:36:27 | DEBUG | __FILE___:50 | admin | Added requirement 111 to session 110
